Ticker
AEE
META
CF
BLK
JOYG
PTC
CL
GOOG
MJN
ATO
DECK
JBL
RF
TT
MNK
FB
HWM
LEN
TTWO
ALB
ALXN
DOW
AES
CVS
EPAM
IPG
ENDP
CNC
POOL
TER
EQIX
GE
NDAQ
KMX
TROW
JCI
JKHY
ODFL
NKTR
LW
HUM
AFL
COV
ULTA
IR
NDSN
NWSA
MDT
TAP
BALL
LULU
DISCK
GOOGL
LH
CNP
XYL
DFS
EFX
ITW
WLTW
PKG
COR
FOXA
MPC
HST
AME
CVX
GIS
MA
PFG
RCL
NI
ARE
WYNN
GEHC
MOH
JPM
ABNB
MEE
SJM
TWTR
EOG
MET
MXIM
CTRA
ENPH
CZR
MAC
LO
SCHW
CSRA
CHD
URI
EBAY
TFX
STE
GWW
DXCM
CHTR
WM
EXPD
ED
WST
APA
NSC
OMC
SYY
EQR
CLF
AMG
GD
MTCH
KRFT
COF
AMTM
ADSK
CPT
BXLT
EW
DAL
DRE
RTX
YHOO
ABMD
INTC
ANET
UDR
L
NAVI
LUK
NTRS
PENN
DD
PLTR
RJF
STZ
HSIC
PAYC
STX
TFC
TSLA
IBM
VLO
NXPI
TRMB
MSCI
AMT
DLR
FL
IFF
AMD
AVY
PPL
GME
LMT
CPB
NFLX
DLPH
TYL
WPX
BWA
LKQ
PLD
APTV
ARNC
FAST
ETR
ROST
SNA
KIM
APH
COTY
EG
BEN
CSCO
CMS
OTIS
PVH
ES
LOW
YUM
KEYS
IQV
CPGX
VRTX
ALL
WBD
PARA
NTAP
FTI
ABT
MMM
VTR
QEP
ADBE
FE
DG
CDW
NVR
PFE
CVC
TPR
FBHS
AJG
BG
MRO
HLT
WFC
DVA
DISH
LYB
MRNA
PWR
VNT
GLW
MU
CMG
BAC
TXN
DAY
PSX
TDG
NKE
DHI
AEP
ADI
RMD
KDP
CRWD
AGN
O
TDC
MKC
ORLY
CXO
CDNS
CARR
BR
TDY
ECL
FICO
OI
MAA
ICE
QCOM
ACN
CMCSK
DUK
AMCR
LIN
VST
PEG
AKAM
MNST
TMO
EL
RE
CAT
NEE
AAP
DPZ
BX
ETSY
BRK.B
OGN
WDC
SBAC
CERN
BSX
WY
ZBRA
PCLN
GEN
GGP
UNP
VZ
XOM
PM
TSO
Q
SNPS
ISRG
PAYX
WLP
CFG
PCG
UNH
HON
RVTY
BF.B
AKS
AMGN
PRU
SBL
MRK
FFIV
CSGP
NCLH
PSA
LNT
A
HD
SAI
DOV
GM
MBC
HP
UA
ARG
EVRG
MCO
MAS
EXR
DRI
EQT
CHRW
COO
AWK
PHM
SRE
DELL
HOLX
DXC
CAG
MTB
UHS
VMC
KHC
TGT
DLTR
T
MPWR
SYK
CBE
FCX
LVS
AVB
PG
PGR
SW
JEC
KVUE
FDS
JNPR
NRG
V
D
RRC
CPAY
BBY
NWS
SWKS
WRB
PODD
MCHP
HRS
KR
WMT
NOW
RL
WCG
IVZ
KORS
INVH
DGX
VTRS
ILMN
FOSL
COP
C
MGM
TRIP
K
WELL
RIG
HRL
PCS
PPG
CTLT
FMC
KO
GILD
NLSN
AMP
WAB
MCD
HFC
ANR
CBOE
RSG
VLTO
GEV
HUBB
IT
TXT
CME
AMAT
PYPL
CCL
LYV
EMR
INFO
HAL
SLB
VRSN
ALLE
KMB
CRL
AZO
CEG
FLT
NEM
ROP
GNRC
AVGO
CMCSA
PANW
PH
SOLV
ON
ATVI
DWDP
MOS
GRMN
STLD
CBRE
BKR
SO
FTNT
GPC
IRM
PNW
FDX
AXP
BMS
BA
MDLZ
HBAN
FRC
DVN
GMCR
AXON
INCY
DE
EIX
MKTX
JNJ
DTE
KLAC
ROK
ALGN
ESV
CRM
WAT
CINF
MCK
TJX
ZTS
UAL
XEC
EXC
TRV
ABBV
LRCX
CVG
CPWR
FOX
INTU
NOC
PRGO
MAR
BXP
HIG
SIG
GS
MHK
SHW
JBHT
BRO
CE
PNR
PEP
CTSH
HES
GPN
USB
EXPE
UPS
ADS
FI
JDSU
LVLT
HII
SLG
FSLR
EMN
KFT
HBI
CI
ERIE
MTD
WTW
TECH
VICI
FITB
TEL
ADP
IDXX
SEDG
J
AMZN
XEL
LDOS
SWK
ETN
GDDY
HAS
SYF
WEC
HPE
STT
AIG
MS
HCA
REG
ESRX
NVDA
IP
TMUS
ANSS
BIO
KKR
AYI
MSFT
KSU
MSI
LHX
BDX
OXY
EA
TRGP
KMI
UBER
CTVA
BHF
ADT
ABK
ORCL
TSCO
PETM
AAL
LUV
HSY
BKNG
FSR
GL
MLM
COST
EVHC
IEX
CDAY
SBUX
BLDR
AOS
ACGL
WBA
BAX
REGN
HPQ
CPRT
PNC
CLX
SPG
CB
ELV
AIZ
SBNY
DOC
KEY
PCAR
NUE
BMY
VRSK
DHR
ESS
FTV
MMC
NFX
ADM
CAH
FANG
WMB
LLY
COG
FIS
BK
GAS
SMCI
QRVO
AYE
MO
TSN
CMI
APD
IPGP
AAPL
ZBH
FRT
CTAS
""
TYC
F
BIIB
OKE
SIVB
SPGI
ROL
CSX
DIS
CCI
AON
ALK
